,chi_sq_dof,chi_sq_rel_like
d3e5ea,90.24012751374869,3.630505831238461e-39
5cffe7,152.9811843389039,2.0505594773610435e-66
549e03,4.026460689825201,0.10048168400217773
d57729,69.17534220633645,5.108426629357984e-30
ec129b,193.67620678251816,4.347591014707428e-84
b1ed65,193.5623941512533,4.871658985758313e-84
746c01,218.2758001094125,9.011167108447304e-95
17fe52,88.5696815722152,1.9294458446370758e-38
29b16d,152.5304690996191,3.2182183886649614e-66
fbeb9c,126.7614216095536,5.000007328421088e-55
e6579d,49.31170474498657,2.1624959368021572e-21
f76c79,15.744721340176525,8.182970150392422e-07
eac430,193.67814124034302,4.339188912625942e-84
517fd3,240.69150137021813,1.6586917249837674e-104
6aca9d,50.38653530952063,7.381800723672268e-22
f75490,67.88088107810346,1.8640797351605334e-29
2184c1,230.98424234464915,2.726306677200283e-100
06e451,59.07443119958265,1.2446781696993865e-25
765659,19.231165223895644,2.504768695267812e-08
34f0a4,196.33797891393885,3.03567821325898e-85
7a9344,32.3191735709371,5.184630645662816e-14
fa049f,162.22112979164763,1.9907423132880966e-70
c8318c,159.9165974312114,1.9946225977302218e-69
ad945c,17.67195037542653,1.1910391347078735e-07
09df7c,23.398235898792034,3.8817881238927395e-10
a92e31,153.15600712126732,1.7216616315471378e-66
0ac81a,32.11290439474118,6.372346570563345e-14
642aef,14.14613147264981,4.047340336329592e-06
dd1ef5,191.82855868768064,2.758494069488268e-83
60822c,52.926370101972296,5.822722348709217e-23
eb6876,193.14205314587437,7.4170064963259655e-84
781f9c,56.490502408194,1.6490851781352919e-24
c46277,91.51547766157788,1.0141206052533401e-39
175094,231.52561199849316,1.586575902940218e-100
d3c930,269.2644585536308,6.466779331658885e-117
af3119,13.950345171779535,4.922646336541689e-06
24491a,16.31726128103121,4.615938670937255e-07
001a1d,103.38223335956552,7.119067147031684e-45
317cd9,68.36277710903445,1.1512766542831952e-29
8dad2c,204.91522153030436,5.717505558837657e-89
fa9f10,178.24641922440262,2.1843401872315847e-77
c66b95,118.91064608384983,1.2838643224938232e-51
555360,145.31870492010083,4.3615906182185164e-63
b5dbec,116.20764025129834,1.9161065169522014e-50
3db1d6,37.37211546003217,3.313241120807496e-16
b64d33,11.800397020961888,4.2258030637457585e-05
6e42d8,193.0644417071182,8.015578634303346e-84
333d2c,39.778296254064706,2.987184185885936e-17
