,tA1,tA2,tA3,tA4,tA5,rA1,rA2,rA3,rA4,ssrd_extension,tB1,tB2,tB3,tB4,rB1,rB2,rB3,wpf_extension,net_extension,moho_T,heat_prod
1a2cc4,38.83136944034333,37.56677124007111,8.235798693684824,7.5688514201838695,0.0,8.371667618212996,0.5318478951107519,5.61050586459304,0.0,29.039324292505412,2.269944378483011,1.5356007867913313,1.4245587464022913,0.0,0.5661066548511724,1.5621887766064098,2.5062300710090653,2.617631352226532,31.65695564473195,755.5411519063189,38.61120721771575
cf7e21,72.14728882387871,28.999751486991876,28.16062697016316,13.239641224844188,0.0,0.20188865461853944,7.078627357651051,0.8481103371927012,0.0,26.494400518728625,7.058778455757704,6.5843968159672,3.848463781965559,0.0,1.7932987884503162,0.5080501705438922,0.26002007338748445,2.039864703757271,28.534265222485896,704.9970515030092,47.078306080726655
2824c7,64.41246248228067,43.12211956722282,14.26001440564678,13.325720776019844,0.0,0.4797077153274321,0.4425024594708949,7.249284990529955,0.0,28.873725532426896,25.27346211206111,4.963401112308028,4.282468240886663,0.0,0.10007386149981112,0.2532611502229787,0.23473142082865814,2.0202379812232287,30.893963513650128,891.0005330573609,48.047930185517934
5dbe8f,40.93459888628069,26.754730956157626,12.192235460687751,8.444514015507005,0.0,1.3744134932313656,0.18664777658795373,2.692103189031104,0.0,31.33697358121003,37.132659871177815,3.5423632245167718,0.5066128970069128,0.0,0.000436310351053848,1.3870157921705784,0.14743186296401278,2.7060652981708078,34.043038879380845,667.5450469594816,21.32762851687157
5947fc,63.496170669485686,41.73205806021768,17.488489860744508,13.25696772045828,0.0,0.4954233186593837,0.2208733281723363,2.830329874355008,0.0,27.278709710962637,36.631124500614426,13.973856511515475,11.756938115371366,0.0,0.020746175900638875,0.2637858953638608,0.1655126766400552,1.8884430864231472,29.167152797385782,1076.6746747730417,29.594954656245193
563a91,37.97237263170473,36.47895322783178,12.724782060872036,10.587207068563675,0.0,3.039300637160194,0.5032869468973777,4.486060866579006,0.0,25.308617708908997,8.8446539601106,3.2933215679328054,1.90301664141614,0.0,0.14923173809607926,0.1981822718253792,2.2776140020752647,3.4224369335663565,28.731054642475353,875.2630506125772,18.541603388542804
2722de,32.04265542335311,21.831464785488677,15.219145299258098,12.556390336099687,0.0,0.15350093824322394,2.5506870393005885,4.241680208190095,0.0,28.844893116712214,17.15732279750966,17.004154576082794,0.4022578139896904,0.0,0.3849551431392144,0.23924678672962865,1.6912507672458288,2.9648744810488363,31.809767597761045,601.6903647133596,12.510398442973266
856ef3,50.2996504096953,39.252466020200586,18.710247364660386,14.632880136039068,0.0,0.1558645483118004,0.27758536838410897,2.8341787396155405,0.0,18.416282019137423,21.639106522156936,21.402028833437555,2.9110740964145028,0.0,3.3260706151417043,0.10472653552288458,0.10262342236575027,1.9029233589690704,20.31920537810649,985.1785906648897,49.60472176355603
eb2234,54.65095019429821,53.325649818524724,13.267916155833365,9.43533025247233,0.0,1.2602656177763794,0.47358936135191604,1.828167602403199,0.0,26.8264998578802,7.031540870599827,6.581070940003895,3.450954958779784,0.0,0.9168681222843515,0.059384423010584435,1.1073299311170868,2.7817518019817844,29.60825165986198,1024.1960498558942,38.01135287934075
707117,23.49443152020373,22.47311857029903,19.239718221832497,18.245418233416718,0.0,2.9446483775690826,4.0193077017497005,5.3769167586611335,0.0,20.71552918301249,12.251961294675002,6.804894012152505,4.77966640310012,0.0,0.07173076026087699,1.9504944568149971,0.0926108353412185,3.0103958779997586,23.725925061012248,920.3176301889883,36.99673346517311
4bc76f,39.23317056340952,37.02171403174026,23.33165777011339,20.93474567281195,0.0,4.110608453660685,0.6336720936715379,4.9757591597142055,0.0,28.80991964920536,16.684735906403922,15.431263751554258,0.9304550043798576,0.0,0.6893141296086815,0.08804923806011411,3.0152102046527807,3.112831775389421,31.922751424594782,778.9592247871408,26.111019400628592
dd3b63,39.24803815989419,36.71422020058737,16.867067340946242,11.407951270657067,0.0,0.5817869814981602,0.7428624896423874,1.3476285791341358,0.0,22.87443892609864,19.092066590364926,6.823923421811223,0.6888052022045921,0.0,0.07385518117270172,0.625647683827943,0.8768176738106654,3.3658855087129784,26.240324434811626,835.3912936011548,32.39472663861937
